"Gene","p.EMMAX","p.LM","Neg.log10.p.EMMAX","Neg.log10.p.LM","Beta.EMMAX","Beta.LM","Allele.freq","Description","Temperature"
"AT1G32850",0.965539661740593,0.796730447639669,0.0152298818832383,0.0986885856344528,-0.0467000084037515,-0.438830650478133,0.128772635814889,"ubiquitin-specific protease 11;(source:Araport11)","10°C"
"AT1G32870",0.0436832025374793,0.50664542525369,1.35968552979575,0.295295874449542,1.91106956740006,0.880429872527868,0.245472837022133,"Expression in rosette leaves is activated by high concentration of boron.","10°C"
"AT1G32880",0.11389564833472,0.0312010742653084,0.943492868900021,1.50583045279362,1.97963391677596,4.08247949314161,0.100603621730382,"ARM repeat superfamily protein;(source:Araport11)","10°C"
"AT1G32900",0.687394441830532,0.30209846947054,0.16279398382534,0.519851474998757,0.517942293641159,2.08319921298192,0.0875251509054326,"Glucosyltransferase specifically responsible for elongating amylose polymers.","10°C"
"AT1G32910",0.775865187024175,0.0977820161053038,0.110213734434905,1.0097410125377,-0.457759612879615,-4.09488272924307,0.0563380281690141,"HXXXD-type acyl-transferase family protein;(source:Araport11)","10°C"
"AT1G32960",0.276770961982786,0.22023778012817,0.557879476759269,0.657108179034564,1.88789234337301,3.16958809095107,0.051307847082495,"Expression induced by pectin-related DAMPs (Damage Associated Molecular Patterns). Together with SBT3.5 contributes to the activation of defence-related PMEs and Botrytis resistance.  Influences the expression of specific defense genes and the structure of pectin against Botrytis. Secreted via Exocyst Positive Organelles (EXPOs) in the apoplast where it colocalizes with Pro-PME17.","10°C"
"AT1G32970",0.181487223505864,7.30150517075009e-08,0.741153943389355,7.13658760289746,0.999525616363176,6.26368254777852,0.613682092555332,"Subtilisin-like serine endopeptidase family protein;(source:Araport11)","10°C"
"AT1G32975",0.706993750718405,0.459526363734439,0.1505844250157,0.337689567420543,0.542366987547776,-1.64938672344589,0.0704225352112676,"hypothetical protein;(source:Araport11)","10°C"
"AT1G32980",0.439674790594126,0.135745897479554,0.356868434584355,0.867273286813993,-1.13661925021885,-3.5450482890062,0.0613682092555332,"Subtilisin-like serine endopeptidase family protein;(source:Araport11)","10°C"
"AT1G33010",0.57449587524738,0.000182505937777563,0.240713085102298,3.73872300133309,-0.444427374913192,-4.43538954077785,0.640845070422535,"F-box and associated interaction domains-containing protein;(source:Araport11)","10°C"
"AT1G33020",0.0469615815214491,0.00575138624459594,1.32825728581341,2.24022746560276,-1.68227767738454,3.19746913302725,0.41046277665996,"F-box and associated interaction domains-containing protein;(source:Araport11)","10°C"
"AT1G33050",0.16634386991415,4.75433252179539e-10,0.77899319907236,9.32291044664432,-2.69483076386933,15.525318492872,0.0543259557344064,"hypothetical protein;(source:Araport11)","10°C"
"AT1G33070",0.42704219168064,0.123878459416755,0.369529214649754,0.907004204275556,-0.64646289431849,1.7551878140317,0.506036217303823,"MADS-box family protein;(source:Araport11)","10°C"
"AT1G33100",0.942180722288418,0.84315882504346,0.0258657859918776,0.0740906100217547,-0.0907894093515822,-0.365794449088263,0.106639839034205,"MATE efflux family protein;(source:Araport11)","10°C"
"AT1G33102",0.697448255640897,0.0697310063593689,0.156488007585874,1.15657406700264,0.3295226738703,2.12485346225206,0.614688128772636,"hypothetical protein;(source:Araport11)","10°C"
"AT1G33110",0.704170560386645,0.976496268615879,0.152322135654488,0.010329411897509,0.570659677326973,-0.0644499963201098,0.0734406438631791,"MATE efflux family protein;(source:Araport11)","10°C"
"AT1G33220",0.50238426470344,0.625753018241084,0.298963971698182,0.203597046949805,0.810286677122565,0.965002696721189,0.0915492957746479,"Glycosyl hydrolase superfamily protein;(source:Araport11)","10°C"
"AT1G33320",0.623580107604505,0.758769034674062,0.205107747388568,0.119890400957583,-0.363918009879355,-0.374160833929904,0.675050301810865,"Pyridoxal phosphate (PLP)-dependent transferases superfamily protein;(source:Araport11)","10°C"
"AT1G33480",0.528705667289856,0.0903395981262507,0.276786034290329,1.04412184571994,-0.595319281377052,2.17629654728547,0.269617706237425,"RING/U-box superfamily protein;(source:Araport11)","10°C"
"AT1G33530",0.883563575076157,1.09115522475795e-06,0.0537621962291865,5.96211346347161,0.133919075991471,6.22354313523102,0.729376257545272,"F-box family protein;(source:Araport11)","10°C"
"AT1G33540",0.648152314156117,0.39764373366998,0.18832292402993,0.400505857053782,-0.462260764064644,-1.35944791175072,0.147887323943662,"serine carboxypeptidase-like 18;(source:Araport11)","10°C"
"AT1G33560",0.0605673645792404,0.0176119412935802,1.21776132304454,1.75419277085711,2.59375844258417,4.78626012314223,0.0875251509054326,"Encodes a  NBS-LRR disease resistance protein that possesses N-terminal kinase subdomains. Activation tagged mutant of ADR1 showed elevated levels of SA and reactive oxygen species in addition to number of defense gene transcripts. Exhibits resistance to number of microbial pathogens.","10°C"
"AT1G33600",0.480841152807934,0.737768238340799,0.317998370305292,0.132080045517787,-0.593230819497807,-0.432070294942309,0.266599597585513,"Leucine-rich repeat (LRR) family protein;(source:Araport11)","10°C"
